downloadable,free,id,name,url,pdf_url
TRUE,TRUE,818147,Herringbone Hat,https://www.yarnspirations.com/red-heart-herringbone-hat/RHK0816-024504M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dwab337b91/PDF/RHK0816-024504M.pdf
TRUE,TRUE,1322858,Soft and Cozy Hat,https://www.yarnspirations.com/Red-Heart-Soft-and-Cozy-Knit-Hat/RHK0116-015284M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dw93e94147/PDF/RHK0116-015284M.pdf
TRUE,TRUE,8851,Simply Soft Cashmerino Dulaan Hat,,http://isela.typepad.com/looming_crafts/files/DulaanHats.pdf
TRUE,TRUE,14438,Ray's Hat,,http://soaps-n-stuff.com/Rays%20Hat.pdf
TRUE,TRUE,39674,Wishful Thinking Hat,,http://regulus2.azstarnet.com/pdf/pdfs/53.pdf
TRUE,TRUE,93081,Plait Braid Hat,,http://edison.seattlecentral.edu/~rbarne06/plaitbraidhat.pdf
TRUE,TRUE,96180,Snowflake Hat,,http://www.mcadirect.com/extras/rydk/SnowflakeHat.pdf
TRUE,TRUE,96263,F021 Bulky Roll Brim Hat,,http://blog.plymouthyarn.com/wp-content/uploads/2013/10/F021-GUSTO-10-HAT.pdf
TRUE,TRUE,105487,Warm Hat & Scarf (Hat),http://www.redheart.com/books/knitting-made-easy,http://www.redheart.com/files/patterns/pdf/J27-0001_KnittingMadeEasy_2.pdf
TRUE,TRUE,138885,KOL Beaded Bow Hat,http://www.knotsoflove.org/patterns,https://www.dropbox.com/s/w0qdwl77j47xx97/beaded-bow-hat-pattern.pdf?dl=1
TRUE,TRUE,157764,First Cabled Hat,https://mysisterknits.wordpress.com/2010/01/07/january-free-pattern-first-cabled-hat/,http://www.mysisterknits.com/sites/default/files/MSKStitchesJan10.pdf
TRUE,TRUE,159828,Cavendish Cable Hat,https://www.lionbrand.com/products/knitting-pattern-cavendish-cable-hat-1,https://cdn.accentuate.io/4679108231261/12378270040157/Knit-Pattern-Cavendish-Cable-Hat-90276AD-v1591903303568.PDF
TRUE,TRUE,193115,"Cable Hat, Scarf and Mittens (Scarf)",https://www.yarnspirations.com/bernat-cable-hat--scarf-and-mittens/BRK0138-006029M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dw2931b7f1/PDF/BRK0138-006029M.pdf
TRUE,TRUE,229790,Tema09-12b Felted hat,,http://www.sandnesgarn.no/media/publicfiles/900-utg_tte-hefter_Tema-09.pdf
FALSE,TRUE,274414,Cow Hat Parts,http://www.shoplyonesque.com/blog/?p=697,http://www.shoplyonesque.com/blog/wp-content/uploads/2011/12/Cow-Hat-Parts-pattern.pdf
TRUE,TRUE,277734,My Ears Are Cold! Pavillion Hat,,https://download.acrocomcontent.com/adc/open/My%20Ears%20Are%20Cold!%20Pavillion%20Hat.pdf?objectID=x2uOJ4u5tDimQPV0tRLaDA&assetID=XE*ySkvKIppaLWTjflRjHA&workflow=GetAsset&sid=&cvn=17&dimension=0&ticket=9D93D70263176602AF0131F03EA7C71DAC2AA2BA413E4A5E4259
TRUE,TRUE,325484,Knit Bear Hat with Crochet Ears and Flowers,http://www.vintageknitwit.blogspot.com,https://dl.dropboxusercontent.com/u/16495627/Knitting/Vintage%20Knit%20Wit/Hat/Bulky%20Knit%20Bear%20Ear%20Flap%20Hat%20with%20Crochet%20Ears%20and%20Flowers.pdf
TRUE,TRUE,360071,Royal Quilting Hat,https://www.cascadeyarns.com/pattern/royal-quilting-hats,https://www.cascadeyarns.com/wp-content/uploads/2022/07/DK263_220SportRoyalQuiltingHat.pdf
TRUE,TRUE,778093,Box Stitch Knit Hat,http://www.yarnspirations.com/patterns/bernat-box-stitch-knit-hat.html?id=202520,http://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dw046748c9/PDF/BRK0316-002428M.pdf
TRUE,TRUE,84209,Grassroots Hat,https://cjaneknit.org/,https://cjaneknit.org/Files/Grassroots_Hat.pdf
TRUE,TRUE,108270,Olivia Hat,,http://tiennieknits.typepad.com/files/olivia-hat.pdf
TRUE,TRUE,135557,Slouchy Hat #4525,,http://com.yarnspirations.pattern-pdfs.s3.amazonaws.com/Bernat_Alpaca007_kn_hat.en_US.pdf
TRUE,TRUE,302308,Basic Hat & Mittens 2 Needles (Hat),http://www.yarnspirations.com/pattern/knitting/basic-hat-and-mittens-2-needles,http://www.yarnspirations.com/assets/files/pattern-files/%5Bnode%3Aid%5D/pdf/en/WEB-P-CAN-BasicHats%2526Mittens-ENG.pdf
TRUE,TRUE,337076,Garter Rib with a Twist Hat,https://www.cascadeyarns.com/pattern/garter-rib-with-a-twist-hat,https://www.cascadeyarns.com/wp-content/uploads/2022/07/DK197_PacificHat.pdf
TRUE,TRUE,48353,Slouch hat,,http://parallaxknitting.com/wp-content/uploads/2008/04/slouchhat.pdf
TRUE,TRUE,51842,Tillamook Cabled Hat,,http://rilana.googlepages.com/tillamook.pdf
FALSE,TRUE,137321,Cake or Death Hat,,http://www.angelfire.com/bc3/kotd/cod.pdf
TRUE,TRUE,150171,Bleecker Street Hat and Scarf (Hat),http://www.lionbrand.com/patterns/90177AD.html,http://www.lionbrand.com/printablePatterns/90177AD.pdf
TRUE,TRUE,154273,Seed Stitch Hat #60813AD,http://www.lionbrand.com/patterns/60813AD.html,http://www.lionbrand.com/printablePatterns/60813AD.pdf
TRUE,TRUE,157321,Hometown Hat,http://www.lionbrand.com/patterns/90076AD.html,http://cache.lionbrand.com/printablePatterns/90076AD.pdf
TRUE,TRUE,173836,Charente's Easy Bucket Hat,http://charentessalong.blogspot.com/,http://www.myotherdrive.com/dyn/file/747.482307.04032010.22604.6a65fi/Charentes+lettvinte+lue.pdf
TRUE,TRUE,181788,Deluxe Basic Hat,http://www.lionbrand.com/patterns/81033AD.html,http://cache.lionbrand.com/printablePatterns/81033AD.pdf
TRUE,TRUE,189086,Simply Stockinette Hat,http://www.lionbrand.com/patterns/90621AD.html,http://www.lionbrand.com/printablePatterns/90621AD.pdf
TRUE,TRUE,206169,Mike's Cable Hat,http://purlcub.com/Knit_Wits/Downloads.html,http://purlcub.com/Knit_Wits/Downloads_files/Mike%27s%20Cable%20Hat.pdf
TRUE,TRUE,206414,Toasty Hat,,https://web.archive.org/web/20101228043225/http://www.knitrowan.com/editorial-image/pdf/Toasty%20Hat.pdf
TRUE,TRUE,207690,Moss/Seed Stitch Hat,,http://fantasyflyte.files.wordpress.com/2010/10/moss-seed-hat.pdf
TRUE,TRUE,207879,Twist Cable Hat,http://www.lionbrand.com/patterns/L0070AD.html,http://cache.lionbrand.com/printablePatterns/L0070AD.pdf
TRUE,TRUE,212028,Plum Perfect Hat,http://www.lionbrand.com/patterns/L0040.html,http://cache.lionbrand.com/printablePatterns/L0040.pdf
TRUE,TRUE,213132,The Stitch Is The Thing Hat and Scarf (Hat),http://www.lionbrand.com/patterns/90432AD.html,http://cache.lionbrand.com/printablePatterns/90432AD.pdf
TRUE,TRUE,217194,Bette Hat,http://www.lionbrand.com/patterns/90504.html,http://www.lionbrand.com/printablePatterns/90504.pdf
TRUE,TRUE,221914,Chunky Cable Hat,,http://www.violetbow.com/pdfs/ChunkyCabledHat.pdf
TRUE,TRUE,225091,Semi-Slouchy Eyelet Hat (bulky),,http://www.ravelry.com/dls/cara-jo-miller-designs/56312?filename=eyelethat-bulky12011.pdf
TRUE,TRUE,225748,23-24-43 Garter Stitch Hat,http://item.rakuten.co.jp/gosyo/23-24-43/,http://www.gosyo.co.jp/img/acrobat/2324/43.pdf
TRUE,TRUE,226869,25-26-509MC Hat,http://item.rakuten.co.jp/gosyo/25-26-509mc/,http://www.gosyo.co.jp/img/acrobat/g/509-1.pdf
TRUE,TRUE,241002,Seed Stitch Hat (Striped),http://www.lionbrand.com/patterns/90446AD.html,http://www.lionbrand.com/printablePatterns/90446AD.pdf
TRUE,TRUE,250997,Barbara Hat,http://www.lionbrand.com/patterns/90302AD.html,http://www.lionbrand.com/printablePatterns/90302AD.pdf
TRUE,TRUE,267898,Hopeful Green Hat,http://www.lionbrand.com/patterns/L0532.html,http://www.lionbrand.com/printablePatterns/L0532.pdf
TRUE,TRUE,268445,Little Dot Hat,https://web.archive.org/web/20160409050436/http://www.lionbrand.com/patterns/L10206.html,http://www.lionbrand.com/printablePatterns/L10206.pdf
TRUE,TRUE,271158,Glitter Edged Hat,http://www.lionbrand.com/patterns/L10423.html,http://cache.lionbrand.com/printablePatterns/L10423.pdf
TRUE,TRUE,285346,Slouchy Hat and Cowl (Hat),,http://www.yarnspirations.com/assets/files/pattern-files/pdf/Patons_Melodyweb1_kn_set.en_US.pdf
TRUE,TRUE,291217,Loop Cable Hat 1828,,https://web.archive.org/web/20150628141733/http://us.schachenmayr.com/files/patterns/freepattern_select_1828_en.pdf
TRUE,TRUE,295172,Textured Ski Hat in Inca Alpaca,https://web.archive.org/web/20120312000452/http://www.classiceliteyarns.com/WebLetter/227/Issue227.php,https://web.archive.org/web/20120131073541/http://www.classiceliteyarns.com/WebLetter/227/TexturedSkiHat.pdf
TRUE,TRUE,304343,Harvest Moon Hat #L10603,https://web.archive.org/web/20160409182859/http://www.lionbrand.com/patterns/L10603.html,http://www.lionbrand.com/printablePatterns/L10603.pdf
TRUE,TRUE,308354,Saw Tooth Hat,http://www.skacelknitting.com/s.nl/sc.2/category.71860/.f,https://system.netsuite.com/core/media/media.nl?id=13375&c=712318&h=a4b48576ee8c4b328e50&_xt=.pdf%20&ck=Q5SIekKcAV8Ole7f&vid=Q5SIesV5Afp88Puq&cktime=105470
TRUE,TRUE,312657,Big Dipper Hat,http://www.lionbrand.com/patterns/L10600.html,http://cache.lionbrand.com/printablePatterns/L10600.pdf
TRUE,TRUE,317720,Shaded Stripes Hat,http://www.lionbrand.com/patterns/L0515.html,http://www.lionbrand.com/printablePatterns/L0515.pdf
TRUE,TRUE,341044,Diamond Lace Hat,http://www.brownsheep.com/patterns/downloadable-patterns,http://www.brownsheep.com/images/stories/patterns/brown-sheep-diamond-lace-hat.pdf
TRUE,TRUE,367669,Salt and Pepper Hat,http://www.lionbrand.com/patterns/L0349.html,http://www.lionbrand.com/printablePatterns/L0349.pdf
TRUE,TRUE,373789,Winter Hat,http://www.madeinamericayarns.com/projects-patterns/download-yarn-patterns/,http://www.madeinamericayarns.com/wp-content/uploads/2013/06/WinterHat.pdf
TRUE,TRUE,389545,Hanover Hat,http://www.lionbrand.com/patterns/90294AD.html,http://www.lionbrand.com/printablePatterns/90294AD.pdf
